systemTime,ipAddress,symmetric,willingness,isMultiPointRelay,wasMultiPointRelay,multiPointRelaySelector,linkcount,twoHopNeighborCount,currentLinkStatus,lostLinkTime,helloTime,lossHelloInterval,lossTime,linkCost,linkQuality,neighborLinkQuality1,uplinkKbps,downlinkKbps,RSSI value,AVG RSSI value,trend,tau,Connected
1711543543,192.168.11.35,TRUE,3,FALSE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2650,55.292969,0.164,0.109,128,1024,-82,-84,0,0,0
1711543545,192.168.11.35,TRUE,3,FALSE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1248,55.292969,0.164,0.109,128,1024,-83,-83,0,0,0
1711543547,192.168.11.35,TRUE,3,FALSE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2748,20.741211,0.215,0.223,128,1024,-86,-84,0,0,0
1711543549,192.168.11.35,TRUE,3,FALSE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2849,20.671875,0.278,0.259,128,1024,-83,-82,0,0,0.2
1711543551,192.168.11.35,TRUE,3,FALSE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1396,20.603516,0.278,0.259,128,1024,-83,-83,0,0,0.2
1711543553,192.168.11.35,TRUE,3,FALSE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2950,20.251953,0.329,0.345,128,1024,-84,-84,0,0,1
1711543555,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,2950,19.974609,0.396,0.396,128,1024,-84,-84,0,0,1
1711543557,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1497,19.830078,0.435,0.415,128,1024,-85,-84,0,0,1
1711543559,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,995,19.388672,0.466,0.45,128,1024,-84,-84,0,0,1
1711543561,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,998,19.09375,0.481,0.45,128,1024,-85,-84,0,0,1
1711543563,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1649,18.94043,0.497,0.521,128,1024,-84,-83,0,0,1
1711543565,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1145,18.482422,0.533,0.549,128,1024,-82,-84,0,0,1
1711543567,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1150,18.181641,0.533,0.549,128,1024,-84,-83,0,0,1
1711543569,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1798,18.030273,0.553,0.58,128,1024,-86,-84,0,0,1
1711543571,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1246,17.571289,0.709,0.596,128,1024,-84,-84,0,0,1
